rank,university_name,location,academic_reputation,citation_per_paper,papers_per_faculty,faculty_student,staff_with_phd,web_impact,international_research,employer_reputation,overall_score
301,Universidade Salvador,"Salvador, Brazil",1.4,46.2,7.3,2.2,22.7,16.2,10,3.4,n/a
301,Universidade Vila Velha,"Vila Velha, Brazil",n/a,27.7,40.2,9.9,29.3,9.7,6.1,1,n/a
351,Universidade Federal Rural de Pernambuco,"Recife, Brazil",n/a,7.1,62,36.8,n/a,n/a,n/a,n/a,n/a
351,Universidade Federal do Piauí,"Teresina, Brazil",n/a,23.7,33.7,27.3,n/a,n/a,n/a,n/a,n/a
351,Universidade Anhembi Morumbi,"São Paulo, Brazil",7.4,1.1,3.4,7.4,n/a,12.4,1.8,14,n/a
351,Universidade do Estado de Minas Gerais,"Belo Horizonte, Brazil",11.8,1.8,4.1,31.5,n/a,10,3.5,8.5,n/a
351,Universidade do Estado do Pará,"Belém, Brazil",5,15.1,3.7,38.6,n/a,2.2,7.9,1.7,n/a
351,Universidade Estadual do Rio Grande do Sul,"Bagé, Brazil",7.4,9.6,15.7,19.2,n/a,9.3,n/a,4.5,n/a
351,Universidade Positivo,"Curitiba, Brazil",3.1,15.9,18.8,5.9,n/a,11.7,17.9,5.2,n/a
351,Universidade Regional do Noroeste do Estado do Rio Grande do Sul,"Ijuí, Brazil",4.4,1,4.4,26,n/a,16.2,1.3,3.5,n/a
351,Universidade Veiga de Almeida,"Rio de Janeiro, Brazil",n/a,42.1,8.1,8.5,10.5,9,3.2,4,n/a
401+,Centro Universitário Ritter dos Reis,"Porto Alegre, Brazil",2.9,n/a,n/a,2.9,n/a,6.6,n/a,4.2,n/a
401+,Universidade de Taubaté,"Taubaté, Brazil",2.9,1.9,6.1,12.7,n/a,23.3,4.3,2.1,n/a
