rank,university_name,location,academic_reputation,citation_per_paper,papers_per_faculty,faculty_student,staff_with_phd,international_research,web_impact,employer_reputation,overall_score
201,Universidade de Santa Cruz do Sul,"Santa Cruz do Sul, Brazil",5.4,46.9,9.8,9.4,43.3,11.1,74.7,3.8,n/a
201,Universidade do Estado da Bahia,"Salvador, Brazil",7.6,2.4,4.5,73.9,39,14.4,18.9,7,n/a
251,Universidade Federal do Piauí,"Teresina, Brazil",n/a,36,30.7,26.2,n/a,64.1,41,n/a,n/a
251,Pontifícia Universidade Católica de Minas Gerais,"Belo Horizonte, Brazil",21.5,15.4,7.4,13.1,11.9,16.2,18.9,19.2,n/a
251,Universidade Estadual da Paraíba,"Campina Grande, Brazil",5.3,3.8,13,41.8,52.2,12.8,21.2,1.9,n/a
251,Universidade Estadual de Montes Claros,"Montes Claros, Brazil",3.5,3.6,7.9,80.5,28.1,4.3,19.8,2.7,n/a
251,Universidade Estadual do Centro-Oeste,"Guarapuava, Brazil",2.3,3.2,15,38.3,70.4,2.9,17.3,4.5,n/a
251,Universidade Federal de Mato Grosso,"Cuiabá, Brazil",6.3,8.8,31.9,25.4,26.3,42.6,25.5,2.9,n/a
251,Universidade Federal do Acre,"Rio Branco, Brazil",4,4,11.8,63.4,52.9,16.2,28.1,2.1,n/a
251,Universidade de Caxias do Sul,"Caxias do Sul, Brazil",4.7,74.8,25.9,10.4,12.1,23.4,23.6,2.9,n/a
251,Universidade de Pernambuco,"Recife, Brazil",4.9,9,6.4,100,n/a,37.2,13.3,1.9,n/a
251,Universidade de Ribeirão Preto,"Ribeirao Preto, Brazil",6.5,26.7,8,23.5,68,19.7,6.2,3.6,n/a
251,Universidade do Estado de Santa Catarina,"Florianópolis, Brazil",16.8,7,33.4,32.8,n/a,28.7,24.5,3.3,n/a
301,Universidade Federal Rural de Pernambuco,"Recife, Brazil",n/a,7.1,59.1,35,n/a,51.7,11,n/a,n/a
301,Universidade Estadual de Goiás,"Goiânia, Brazil",3.6,4.1,5.7,76.9,17.4,10.3,15.2,2.1,n/a
