rank,university_name,location,papers_per_faculty,citation_per_paper,academic_reputation,staff_with_phd,faculty_student,international_research,web_impact,employer_reputation,overall_score
201,Universidade do Vale do Itajaí,"Itajaí, Brazil",19.9,48.7,n/a,41.6,n/a,33.7,36.6,n/a,n/a
201,Universidade Estadual da Paraíba,"Campina Grande, Brazil",27.3,34.2,n/a,67.6,53,n/a,40.5,n/a,n/a
201,Universidade Estadual de Montes Claros,"Montes Claros, Brazil",n/a,n/a,n/a,32.4,87.9,n/a,42.8,n/a,n/a
201,Universidade Estadual do Centro-Oeste,"Guarapuava, Brazil",30.7,n/a,n/a,82.1,48.3,n/a,50,n/a,n/a
201,Universidade Estadual do Rio Grande do Sul,"Bagé, Brazil",18.9,n/a,n/a,90.4,74.1,n/a,n/a,n/a,n/a
201,Universidade Federal do Acre,"Rio Branco, Brazil",16.4,n/a,n/a,63.3,71.7,30.7,n/a,n/a,n/a
201,Universidade Federal do Estado do Rio de Janeiro,"Rio de Janeiro, Brazil",n/a,n/a,n/a,100,66.4,n/a,30,n/a,n/a
201,Universidade Federal dos Vales do Jequitinhonha e Mucuri,"Teófilo Otoni, Brazil",33.3,n/a,n/a,96.1,65.9,n/a,31.2,n/a,n/a
201,Universidade Luterana do Brasil,"Canoas, Brazil",30.6,60.7,n/a,35.8,n/a,n/a,n/a,n/a,n/a
201,Universidade Regional de Blumenau,"Blumenau, Brazil",39.6,49.3,n/a,50.6,n/a,n/a,33.2,n/a,n/a
251,Instituto Federal do Paraná,"Paranavaí, Brazil",n/a,n/a,n/a,44.6,99.7,n/a,n/a,n/a,n/a
251,Universidade de Fortaleza,"Fortaleza, Brazil",35,48.8,n/a,41.8,n/a,n/a,32.3,n/a,n/a
251,Universidade de Passo Fundo,"Passo Fundo, Brazil",41.3,40.2,n/a,60.1,n/a,n/a,39.2,n/a,n/a
251,Universidade de Santa Cruz do Sul,"Santa Cruz do Sul, Brazil",15.3,48.1,n/a,51.7,n/a,n/a,47.3,n/a,n/a
