rank,university_name,location,citation_per_paper,papers_per_faculty,academic_reputation,faculty_student,staff_with_phd,international_research,web_impact,employer_reputation,overall_score
301,Universidade Estadual do Centro-Oeste,"Guarapuava, Brazil",8,20.8,2,36.4,70.4,1.5,19.5,9,n/a
301,Universidade Luterana do Brasil,"Canoas, Brazil",63.1,3.9,19.4,5.8,n/a,5.3,14.5,16.6,n/a
301,Universidade Potiguar,"Natal, Brazil",85.9,9.7,n/a,2.2,44.7,n/a,7.9,3.8,n/a
301,Universidade Veiga de Almeida,"Rio de Janeiro, Brazil",100,11.2,n/a,9.3,10.4,2.3,10.1,3.8,n/a
301,Universidade do Estado do Pará,"Belém, Brazil",45.7,5.6,5.7,85.4,n/a,11.9,3,1.9,n/a
301,Universidade do Vale do Itajaí,"Itajaí, Brazil",30.5,36.4,4,8.1,24.9,15.1,31.6,11.3,n/a
351,Universidade Anhembi Morumbi,"São Paulo, Brazil",8.7,4,11.3,8.3,n/a,2.6,11.5,30.4,n/a
351,Universidade Estadual do Maranhão,"São Luís, Brazil",3.9,14.9,3.3,24.8,42.4,9.9,28.1,1.9,n/a
351,Universidade Estadual do Rio Grande do Sul,"Bagé, Brazil",22.5,18.6,9.2,18.8,n/a,10.1,14.6,9.3,n/a
351,Universidade Positivo,"Curitiba, Brazil",48,24.3,2.4,6.8,n/a,7.8,15.1,7.4,n/a
351,Universidade Regional de Blumenau,"Blumenau, Brazil",35.6,15.9,4.8,35.5,n/a,17.8,27.8,5.8,n/a
351,Universidade Salvador,"Salvador, Brazil",43,11.9,n/a,2.8,22.7,8.6,18.5,4.3,n/a
351,Universidade do Estado de Minas Gerais,"Belo Horizonte, Brazil",6.6,4.8,16.6,29.1,n/a,5.1,11.4,19.6,n/a
351,Universidade do Vale do Paraíba,"São José, Brazil",56.5,22.7,1.7,17.7,n/a,10,19.2,3.2,n/a
401+,Centro Universitário Ritter dos Reis,"Porto Alegre, Brazil",n/a,n/a,4.6,2.5,n/a,n/a,8.4,n/a,n/a
